UID          PID    PPID  C STIME TTY          TIME CMD
student     4662       1  0 Jul07 ?        00:00:40 /opt/ttyd/ttyd --interface 0.0.0.0 --port 2222 --client-option disableLeaveAlert=true --client-option titleFixed=bchd Alta3 Terminal --client-option theme={"background":"#0f0f0f", "black":"#000000", "red":"#eb008a", "green":"#37b349", "yellow": "#f8ca12", "blue":"#168ee9", "magenta":"#b31e8d", "cyan":"#00aabb", "white":"#ffffff", "brightBlack": "#505050", "brightBlue":"#168ee9", "brightCyan": "#00aabb", "brightMagenta":"#b31e8d", "brightRed":"#eb008a", "brightWhite":"#ffffff", "brightYellow": "#f9ca12", "brightGreen": "#37b349", "cursor":"#eb008a"} /usr/bin/tmux new -A -s ttyd
student     4670       1  0 Jul07 ?        00:00:03 /opt/ttyd/ttyd --interface 0.0.0.0 --port 2223 --client-option disableLeaveAlert=true --client-option titleFixed=bchd Alta3 Recovery --client-option theme={"background":"#0f0f0f", "black":"#000000", "red":"#eb008a", "green":"#37b349", "yellow": "#f8ca12", "blue":"#168ee9", "magenta":"#b31e8d", "cyan":"#00aabb", "white":"#ffffff", "brightBlack": "#505050", "brightBlue":"#168ee9", "brightCyan": "#00aabb", "brightMagenta":"#b31e8d", "brightRed":"#eb008a", "brightWhite":"#ffffff", "brightYellow": "#f9ca12", "brightGreen": "#37b349", "cursor":"#eb008a"} /bin/bash
student     5195       1  0 Jul07 ?        00:00:00 /home/student/.local/lib/code-server-4.2.0-linux-amd64/lib/node /home/student/.local/lib/code-server-4.2.0-linux-amd64
student     5226    5195  0 Jul07 ?        00:07:22 /home/student/.local/lib/code-server-4.2.0-linux-amd64/lib/node /home/student/.local/lib/code-server-4.2.0-linux-amd64
root        6710       1  0 Jul08 ?        00:02:03 /usr/lib/snapd/snapd
student     7227       1  0 Jul08 ?        00:00:37 /usr/bin/tmux new -A -s ttyd
student     7242    5226  0 Jul08 ?        00:01:44 /home/student/.local/lib/code-server-4.2.0-linux-amd64/lib/node /home/student/.local/lib/code-server-4.2.0-linux-amd64/lib/vscode/out/bootstrap-fork --type=ptyHost
root       12175    4002  0 Jul10 ?        00:00:02 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 2345 -container-ip 172.17.0.3 -container-port 5000
root       12184    4002  0 Jul10 ?        00:00:02 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 2345 -container-ip 172.17.0.3 -container-port 5000
root       12200       1  0 Jul10 ?        00:03:20 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 48793d233a80ce5d468e7c022f92c36b392a6b3692ccbc0cb78fe433b30eb6d0 -address /run/containerd/containerd.sock
root       12222   12200  0 Jul10 ?        00:02:38 registry serve /etc/docker/registry/config.yml
uuidd      12903       1  0 Jul10 ?        00:00:00 /usr/sbin/uuidd --socket-activation
root       16464       1  0 Jul10 ?        00:00:00 nginx: master process /usr/sbin/nginx -g daemon on; master_process on;
www-data   16465   16464  0 Jul10 ?        00:00:00 nginx: worker process
www-data   16466   16464  0 Jul10 ?        00:00:02 nginx: worker process
root       43782       1  0 Jul23 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root       43790       1  0 Jul23 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
student    49602    7227  0 Jul25 pts/1    00:00:01 -bash
root       50936       2  0 06:43 ?        00:00:07 [kworker/1:1-events]
root       51349       2  0 16:32 ?        00:00:00 [kworker/0:1-events]
root       51356       2  0 16:32 ?        00:00:03 [kworker/1:3-events]
root       51612       2  0 17:18 ?        00:00:12 [kworker/0:3-events]
root       51746       2  0 21:50 ?        00:00:00 [kworker/u4:3-ext4-rsv-conversion]
root       51750       2  0 22:04 ?        00:00:00 [kworker/u4:0-events_unbound]
root       51755       2  0 22:17 ?        00:00:00 [kworker/u4:2-events_power_efficient]
student    51756    4662  0 22:17 pts/0    00:00:00 /usr/bin/tmux new -A -s ttyd
student    51885   49602  0 22:32 pts/1    00:00:00 ps -ef
